"","excess.grp.q.rd[, 1]","excess.grp.q.rd[, 1]","outtab1","sum.cases.excess.median","sum.cases.excess.Var"
"1","25-44 years","25-44 years","24000 (21600, 26100)",23962.5,1272097.89706747
"2","45-64 years","45-64 years","75400 (69000, 80700)",75426.5,8662331.12292825
"3","65-74 years","65-74 years","84100 (77700, 89800)",84100.5,9328417.003641
"4","75-84 years","75-84 years","102600 (94200, 110400)",102576.5,16708341.1988213
"5","85 years and older","85 years and older","122100 (107400, 134800)",122061.5,49245031.8705438
"6","Under 25 years","Under 25 years","-400 (-1400, 500)",-355,235244.47290329
