"","agec","race_recode","region","inc_cdc","inc_va"
"62","75-84 years","1","Northeast",43349.040988275,46470.1245417283
"63","75-84 years","1","South",45750.9238048125,47431.8781116604
"64","75-84 years","1","West",41455.1460089156,41435.7397276046
"65","75-84 years","2","Midwest",52595.1477204463,4097.42198907798
"66","75-84 years","2","Northeast",42049.7894784664,3844.82913593956
"67","75-84 years","2","South",51351.7853347525,6507.45817859815
"68","75-84 years","2","West",48186.2643042274,2944.13858033782
"69","75-84 years","3","Midwest",46746.1081850018,284.377696796692
"70","75-84 years","3","Northeast",14188.2308727873,98.2991846484434
"71","75-84 years","3","South",33146.3483741908,306.496853437313
"72","75-84 years","3","West",42038.982502893,664.202776829508
"73","75-84 years","4","Midwest",21305.510991538,60.4892578773389
"74","75-84 years","4","Northeast",21257.9163080572,79.5223465908445
"75","75-84 years","4","South",21545.6622223426,53.8601765153966
"76","75-84 years","4","West",20896.3532862342,695.409652921112
"77","75-84 years","5","Midwest",342614.127184531,204.198780672616
"78","75-84 years","5","Northeast",227206.88980231,243.761639749635
"79","75-84 years","5","South",220717.639010121,432.169965707247
"80","75-84 years","5","West",223228.910212004,569.748712025617
"81","85 years and older","1","Midwest",145246.943252833,116706.073795839
"82","85 years and older","1","Northeast",140208.217594514,115228.072179281
"83","85 years and older","1","South",136432.698331572,110520.106059517
"84","85 years and older","1","West",135207.263578245,100650.134264793
"85","85 years and older","2","Midwest",124432.429514695,6218.78144795965
"86","85 years and older","2","Northeast",103593.74134508,4964.32041484228
"87","85 years and older","2","South",126103.160982223,11363.3384220475
"88","85 years and older","2","West",120263.488597511,4159.6430247872
"89","85 years and older","3","Midwest",91018.8346162333,316.878335775227
"90","85 years and older","3","Northeast",27882.9703946415,168.36643826633
"91","85 years and older","3","South",70142.2836128119,501.77220127736
"92","85 years and older","3","West",104481.065377793,890.640423010168
"93","85 years and older","4","Midwest",69553.2031397477,97.5550259330335
"94","85 years and older","4","Northeast",67555.286629392,92.85072460429
"95","85 years and older","4","South",68560.2100744137,81.1030229395364
"96","85 years and older","4","West",74410.9780849764,3639.27360375211
"97","85 years and older","5","Midwest",1113976.27643115,509.933576184816
"98","85 years and older","5","Northeast",471977.543316233,739.11180690501
"99","85 years and older","5","South",595043.952110099,970.627838175451
"100","85 years and older","5","West",695018.731788539,946.369610467355
